question	valid	schema	type	entity	abs	relation	limit	list	is_or_not
昆明长水国际机场的附近餐馆	1	餐饮类	列举	餐馆					
昆明长水机场免税店	1	购物类	实体查询	免税店					
昆明长水机场贵宾通道走一次多少钱?	1	贵宾服务	实体属性问询	贵宾通道		多少钱			
请问，有谁知道昆明长水国际机场救护中心的联系电话呢？	1	设施类	实体属性问询	救护中心		联系电话			
想知道: 昆明长水机场北出口中通快递 在哪	1	设施类	实体属性问询	中通快递		在哪			
昆明长水机场T3航站楼联通贵宾休息厅在什么位置？	1	贵宾服务	实体属性问询	贵宾休息厅		位置			
请问昆明长水国际机场有公用电话吗？	1	设施类	实体查询	公用电话					
长沙国际机场东航贵宾休息室营业时间是几点到几点？	1	其他	其他						
昆明长水机场到港大厅有没有更衣室？	1	设施类	实体查询	更衣室					
昆明长水机场的问询电话	1	center	实体属性问询	昆明长水机场		问询电话			
机场贵宾厅服务专享厅开放时间？	1	贵宾服务	实体属性问询	贵宾厅		开放时间			
机场贵宾厅服务专享厅的服务电话？	1	贵宾服务	实体属性问询	贵宾厅		服务电话			
昆明长水机场t2有吸烟室吗?	1	设施类	实体查询	吸烟室			t2		
昆明长水机场官网	1	center	实体属性问询	昆明长水机场		官网			
昆明长水机场的VIP贵宾通道在哪里？	1	贵宾服务	实体属性问询	VIP贵宾通道		在哪里			
昆明长水国际机场t3航站楼前贵宾停车场如何收费	1	贵宾服务	实体属性问询	贵宾停车场		收费	t3		
昆明长水机场急救中心可以体检吗周末	1	设施类	实体属性问询	急救中心		周末			
昆明长水国际机场哪里有什么吃饭的地方吗？	1	餐饮类	列举		吃饭的地方				
哪里有商场母婴休息室	1	设施类	实体属性问询	母婴休息室					
昆明长水机场t3里面还有吸烟室吗？	1	设施类	实体查询	吸烟室			t3		
昆明长水国际机场有免税店吗?	1	购物类	实体查询	免税店					
昆明长水机场免税店有那有哪些规则？	1	购物类	有实体但cqa	免税店		规则			
昆明长水机场的邮编是多少	1	center	实体属性问询	昆明长水机场		邮编			
昆明长水机场t3航站楼里有顺丰快递吗	1	设施类	实体查询	顺丰快递			t3		
昆明长水国际机场的肯德基是24小时营业的吗？	1	餐饮类	实体属性问询	肯德基		24小时营业			
滴滴专车、神州租车等平台可以在昆明长水机场预约较高品质的停机坪接机服务吗？		其他	其他						
昆明长水机场顺丰速运地址？	1	设施类	实体属性问询	顺丰速运		地址			
昆明长水机场怎么停车	1	设施类	实体查询		停车				
在昆明长水机场怎么抽烟	1	设施类	实体查询		抽烟				
昆明长水机场候机厅有热水供应吗？		设施类	实体查询	候机厅					
昆明长水机场T2里面有酒店吗？	1	住宿类	实体查询	酒店			T2		
在昆明长水国际机场的第三航站楼有公用电话吗	1	设施类	实体查询		公用电话		第三航站楼		
昆明长水机场航安路上的建设银行哪去了	1	金融类	有实体但cqa	建设银行		哪去了			
昆明长水机场里面有没有邮政自动提款机	1	设施类	实体查询	提款机					
机场有没有随身wifi租赁	1	设施类	实体查询	wifi					
昆明长水机场里有提款机吗	1	设施类	实体查询	提款机					
昆明长水机场一号航站楼的麦当劳在哪里，是24小时的吗？	1	餐饮类	复杂	麦当劳		哪里			
昆明长水机场一号航站楼的麦当劳可以过夜吗？	1	餐饮类	有实体但cqa	麦当劳					
昆明长水国际机场有免税店吗?	1	购物类	实体查询	免税店					
请问机场客服是多少?	1	center	实体属性问询	机场		客服			
可以在机场的厕所里过夜吗？	1	其他	其他						
机场里面的电话卡直接给钱就能买？！	1	设施类	有实体但cqa	电话卡					
飞机场候机大厅有提款机吗	1	设施类	实体查询	提款机					
请问在机场租随身Wi-Fi是多少钱一天？	1	设施类	实体属性问询	Wi-Fi		多少钱			
机场售票电话号码	1	设施类	实体属性问询	售票		电话			
谁知道昆明长水机场2航站楼有没有自助取票机？	1	设施类	实体查询	取票机			2航站楼		
谁知道昆明长水机场2航站楼自助取票机具体在哪个位置？	1	设施类	实体属性问询	取票机		在哪个位置			
谁知道昆明长水机场有没有全聚德烤鸭店？	1	餐饮类	实体查询	全聚德					
昆明长水机场有没有全聚德烤鸭店订餐电话？	1	餐饮类	实体属性问询	全聚德		电话			
能否在昆明长水国际机场买到手机卡？	1	设施类	实体查询	手机卡					
请问昆明长水机场有邮寄包裹的地方吗？	1	设施类	实体查询		邮寄包裹的地方				
长水机场国际候机厅有热水吗	1	设施类	实体查询	热水					
昆明长水机场的交行atm可以存钱吗	1	金融类	有实体但cqa	交行atm					
昆明长水机场有免税商店没？	1	购物类	实体查询	免税商店					
昆明长水机场都卖什么？	1	购物类	列举		卖什么				
日上免税行(昆明长水机场店)的详细介绍？	1	购物类	有实体但cqa		日上免税行	详细介绍			
昆明长水市国际机场深航基地邮政编码是多少	1	center	实体属性问询	深航基地		邮政编码			
机场航站楼内有存取款一体机吗	1	设施类	实体查询		存取款一体机		航站楼		
杭州哪些飞机盒公司能提供精致飞机盒？		其他	其他						
昆明长水机场的游伴伴wifi租赁柜台有没有开始营业？	1	设施类	实体查询	wifi					
昆明长水机场提供冬衣免费寄存服务吗？	1	行李	实体查询	寄存			免费		
昆明长水机场里面有顺丰快递和同城快递么？	1	设施类	实体查询	顺丰快递和同城快递					
昆明长水机场候机楼，有工商银行柜员机吗？	1	金融类	实体查询	工商银行柜员机			候机楼		
有人知道昆明长水机场里有顺丰快递的网点吗	1	设施类	实体查询	顺丰快递					
昆明长水机场有招商银行提款机吗	1	金融类	实体查询	招商银行提款机					
机场航空快递凌晨2点可以取件吗	1	设施类	实体属性问询	快递		凌晨2点			
昆明长水机场大厅可不可以买到移动电话卡？	1	购物类	实体查询		买到移动电话卡				
昆明长水国际机场里面有建行的取款机吗？	1	设施类	实体查询		建行的取款机				
昆明长水机场到昆明长水机场半夜12点有机场大巴吗	1	出行类	实体查询	机场大巴			半夜12点		
昆明长水机场免税店有什么品牌	1	购物类	列举	免税店				有什么	
昆明长水国际机场有公用电话么？	1	设施类	实体查询	公用电话					
昆明长水机场有24小时营业的店么?	1	购物类	实体查询		营业的店	24小时			
机场摆渡车是什么?	1	出行类	有实体但cqa	机场摆渡车					
昆明长水机场有热水提供吗？	1	设施类	实体查询		热水提供				
昆明长水机场的机场大巴是送旅客去哪里	1	出行类	有实体但cqa	机场大巴					
昆明长水机场的麦当劳具体在哪个位置？？	1	餐饮类	实体属性问询	麦当劳		在哪个位置			
境外旅游wifi在昆明长水机场能租到吗？	1	设施类	实体查询	wifi					
到昆明长水机场到哪个旋转盘拿行李都可以吗		行李	有实体但cqa		拿行李				
机场免税店购物		购物类	实体查询	免税店					
请问昆明长水机场的航站楼机场派出所的电话是多少。	1	设施类	实体属性问询	派出所		电话			
昆明长水机场，可以有WIFI吗？	1	设施类	实体查询	WIFI					
昆明长水机场送机候机厅外（在过安检之前的区域）有餐厅或咖啡厅吗？	1	餐饮类	实体查询		餐厅或咖啡厅				
外国人昆明长水机场wifi怎么办		设施类	有实体但cqa	wifi					
请问昆明长水国际机场头等舱休息室的东西要钱吗？	1	设施类	有实体但cqa	头等舱休息室					
昆明长水机场鲜花打包价格是多少？	1	行李	有实体但cqa	打包		价格			
昆明长水机场里有哪些美食？	1	餐饮类	列举		有哪些美食				
昆明长水机场有联通电话卡卖吗？	1	设施类	实体查询	联通电话卡					
昆明长水机场的联通电话卡是现买现用吗？	1	设施类	有实体但cqa	联通电话卡					
昆明长水机场T2航站楼宾馆价格	1	住宿类	实体属性问询	宾馆		价格	T2		
昆明长水机场计时休息室是都可以住吗？	1	设施类	有实体但cqa	计时休息室					
住昆明长水机场计时休息室需要什么条件吗？	1	设施类	有实体但cqa	计时休息室					
昆明长水国际机场有更衣室吗	1	设施类	实体查询	更衣室					
机场内有没有可休息可充电的地方	1	设施类	实体查询		可休息可充电的地方				
昆明长水国际机场有没有导盲语音？	1	设施类	实体查询	导盲语音					
国航的银卡能进贵宾厅休息吗	1	贵宾服务	有实体但cqa	贵宾厅					
你好，昆明长水机场有农行贵宾厅吗？	1	贵宾服务	实体查询	农行贵宾厅					
昆明长水机场t2航站楼有银行吗	1	金融类	实体查询	银行			t2		
昆明长水机场的电瓶车是在2层还是3层？	1	设施类	实体属性问询	电瓶车		是在2层还是3层			
昆明长水机场停车场收费标准如何？	1	设施类	实体属性问询	停车场		收费标准			
昆明长水机场客服电话是多少	1	center	实体属性问询	昆明长水机场		客服电话			
昆明长水机场有没有买手机卡的地方	1	购物类	实体查询		买手机卡的地方				
昆明长水机场和昆明长水机场T2航站楼是一个地方吗	1	其他	其他						
关于国际机场WiFi租赁的问题		设施类	有实体但cqa	WiFi					
昆明长水机场附近有没有中国农业银行	1	金融类	实体查询	中国农业银行					
昆明长水有几个机场	1	其他	其他						
昆明长水机场在哪个区？	1	center	实体属性问询	昆明长水机场		在哪个区			
昆明长水国际机场有吃早茶的地方吗	1	餐饮类	实体查询		吃早茶的地方				
昆明长水国际机场的麦当劳在哪	1	餐饮类	实体属性问询	麦当劳					
国际机场有建行和交行的ATM机吗？	1	金融类	实体查询	ATM机					
寄到昆明长水的航空快件在航站楼就能取还是要去后面的物流中心？		其他	其他						
昆明长水国际机场的国际及地区客运航点	1	设施类	实体查询	客运航点					
中国工商银行昆明长水支行西南航空港分理处在哪里	1	其他	其他						
昆明长水机场t3航站楼附近哪个酒店便宜又实惠而且登记近	1	住宿类	实体查询	酒店			t3		
昆明长水t2机场在哪里可以手机充电	1	设施类	实体查询		手机充电				
昆明长水机场有没有可以自取的快递点？	1	设施类	实体查询	快递					
昆明长水机场的贵宾休息室有独卫吗？	1	贵宾服务	有实体但cqa	贵宾休息室					
昆明长水机场里面的取款机是那个银行的	1	金融类	实体属性问询	取款机					
昆明长水机场里面有没有肯德基或者麦当劳这类的快餐店的？	1	餐饮类	实体查询	快餐店					
昆明长水国际机场电话是什么	1	center	实体属性问询	昆明长水国际机场		电话			
昆明长水机场有手机充电吗？	1	设施类	实体查询		手机充电				
昆明长水国际机场自助餐厅每位多少钱?	1	餐饮类	实体属性问询	自助餐厅		多少钱			
昆明长水机场里哪里有电话卡卖？	1	购物类	实体查询		有电话卡卖				
在昆明长水国际机场的飞机上有wifi吗？	1	机上服务	实体查询	wifi					
昆明长水自由行机场怎么退税		海关过境	有实体但cqa	退税					
昆明长水机场免税店有卖哪些东西？	1	购物类	列举	免税店		卖哪些东西			
昆明长水机场免税店有没有衣服卖？	1	购物类	实体查询	免税店					
昆明长水机场免税店有没有手机卖？	1	购物类	实体查询	免税店					
昆明长水机场投诉热线是多少？	1	center	实体属性问询	昆明长水机场		投诉热线			
昆明长水火车站有手机充电的地方吗？	1	设施类	实体查询	昆明长水火车站		手机充电的地方			
昆明长水机场安检内有没有公用电话?	1	设施类	实体查询	公用电话					
昆明长水飞机场附近有建设银行吗	1	金融类	实体查询	建设银行					
昆明长水机场有什么24小时营业的餐厅嘛？	1	餐饮类	实体查询	餐厅		24小时营业			
请问在昆明长水机场有多少间宾馆？	1	住宿类	列举	宾馆				有多少	
请问在昆明长水机场哪个宾馆最便宜？	1	住宿类	有实体但cqa	宾馆		便宜			
昆明长水太平国际机场哪些银行卡有贵宾候机室	1	贵宾服务	列举	贵宾候机室				哪些	
昆明长水机场计时休息室收费是多少	1	设施类	实体属性问询	休息室		收费			
昆明长水机场用的什么牌子的饮水机	1	设施类	实体属性问询	饮水机					
昆明长水机场有免税店吗	1	购物类	实体查询	免税店					
昆明长水国际机场停车一天收费多少？	1	设施类	实体属性问询		停车	收费			
昆明长水机场t1航站楼有电瓶车吗	1	设施类	实体查询	电瓶车					
哪个机场有吸烟室？	1	设施类	实体查询	吸烟室					
机场附近哪里可以买sim卡	1	购物类	实体查询		买sim卡				
机场上网一天多少钱？	1	设施类	实体属性问询	上网		多少钱			
昆明长水机场有wifi出租去迪拜的吗	1	设施类	实体查询	wifi					
请问昆明长水机场停车位是怎么收费的？	1	设施类	实体属性问询	停车位		收费			
昆明长水机场报警电话是多少？	1	设施类	实体属性问询	昆明长水机场		报警电话			
昆明长水机场有Wi-Fi吗	1	设施类	实体查询	Wi-Fi					
昆明长水机场有些啥免税店~~	1	购物类	列举	免税店					
昆明长水机场充电的地方在哪	1	设施类	实体属性问询		充电的地方	在哪			
机场的神州租车店在哪	1	设施类	实体属性问询	神州租车		在哪			
机场有轮椅吗	1	设施类	实体查询	轮椅					
昆明长水机场哪里取航空快递？	1	设施类	实体查询	快递		哪里			
机场能够办临时身份证吗？	1	设施类	实体查询	办临时身份证					
昆明长水机场国内航班有购物店吗?	1	购物类	实体查询	购物店					
昆明长水机场有寄存行李的地方吗？	1	行李	实体查询	寄存行李					
昆明长水机场附近有什么地方可以吃饭的	1	餐饮类	实体查询		可以吃饭的				
昆明长水机场有没有吸烟室？	1	设施类	实体查询	吸烟室					
昆明长水机场国际航班在哪个航站楼？	1	设施类	实体属性问询	国际航班					
市 昆明长水机场附近哪有顺丰	1	设施类	实体属性问询	顺丰					
昆明长水机场没有插座可以充电的吗	1	设施类	实体查询		可以充电的				
机场负责行李打包吗	1	行李	实体查询		行李打包				
T3航站楼简介。	1	设施类	有实体但cqa	T3航站楼					
禄口机场里有自动取款机吗?	1	其他	其他						
昆明长水机场有没有机场快递～～～！！	1	设施类	实体查询	快递					
昆明长水机场：值机柜台附近的休息椅有没有插座？	1	设施类	实体查询	插座					
昆明长水飞机场T3航站楼里面有肯德基或麦当劳吗	1	餐饮类	实体查询		肯德基或麦当劳		T3		
昆明长水飞机场T3航站楼里面肯德基或麦当劳在哪	1	餐饮类	实体属性问询		肯德基或麦当劳	在哪	T3		
在机场有没有什么地方可以给手机充电？	1	设施类	实体查询		给手机充电				
机场充电宝、手机可以带身上吗		行李安检	实体查询		带身上				
昆明长水机场国内出发可以在免税店买东西吗？		购物类	有实体但cqa	免税店					
飞机场可以暂时寄存行李吗？	1	行李	实体查询	寄存行李					
机场有没有24小时营业的咖啡厅或者快餐店	1	餐饮类	实体查询		咖啡厅或者快餐店	24小时营业			
昆明长水机场进入头等舱休息室需要什么凭证	1	设施类	有实体但cqa	头等舱休息室					
昆明长水国际机场国航值机柜台在哪？	1	柜台	实体属性问询	值机柜台		在哪			
昆明长水机场最近的宾馆	1	住宿类	实体查询	宾馆					
太平国际机场有WIFI吗	1	设施类	实体查询	WIFI					
有谁知道昆明长水机场是否有短期的行李寄存处	1	行李	实体查询	行李寄存处					
昆明长水机场附近有卖手机和手机卡的吗？	1	购物类	实体查询		卖手机和手机卡				
昆明长水国际机场出发大厅或国内到达大厅附近有哪些可签收领取异地行李的快递公司网点？	1	设施类	列举	快递公司					
在昆明长水机场可以免费上网吗？	1	设施类	实体查询	上网					
昆明长水机场里面有交通银行吗？	1	金融类	实体查询	交通银行					
昆明长水机场到昆明长水国际机场有没有免费摆渡车	1	设施类	实体查询	摆渡车			免费		
国际机场t1和t2连着吗？		其他	其他						
昆明长水机场晚上可以过夜吗？	1	住宿类	实体查询		过夜				
昆明长水机场有临时保管行李的吗？	1	行李	实体查询		临时保管行李				
昆明长水机场可以代收快递么	1	设施类	实体查询	快递					
昆明长水机场附近的有什么好吃的地方？	1	餐饮类	实体查询		好吃的地方				
机场母婴室有监控吗	1	设施类	有实体但cqa	母婴室					
昆明长水国际机场t3有哪些好休息的地方？	1	设施类	实体查询		好休息的地方				
昆明长水机场候机大厅哪里能给笔记本电脑充电	1	设施类	实体查询		充电				
昆明长水机场内有肯德基或麦当劳吗？	1	餐饮类	实体查询		肯德基或麦当劳				
乘坐飞机轮椅服务需要费用吗	1	设施类	实体属性问询	轮椅		费用			
昆明长水火车站是否有搬运服务	1	其他	其他						
将行李从火车站台搬到站外昆明长水机场的大巴车上？费用多少呢？	1	设施类	复杂		将行李从火车站台搬到站外	费用			
昆明长水机场贵宾室可以优先登机吗?		贵宾服务	有实体但cqa	贵宾室					
昆明长水机场T2航站楼有给笔记本充电的地方吗？	1	设施类	实体查询		充电的地方				
昆明长水机场有VIP通道吗?	1	贵宾服务	实体查询	VIP通道					
全家便利店 昆明长水机场三店怎么样	1	购物类	其他	全家					
昆明长水机场内有快递吗	1	设施类	实体查询	快递					
昆明长水机场有充电的地方么？	1	设施类	实体查询		充电的地方				
昆明长水机场麦当劳在什么位置	1	餐饮类	实体属性问询	麦当劳		位置			
昆明长水机场内有免税店嘛	1	购物类	实体查询	免税店					
昆明长水机场有贵宾室吗？	1	贵宾服务	实体查询	贵宾室					
昆明长水机场有些免税店？	1	购物类	实体查询	免税店					
昆明长水机场可以存放行李吗？	1	行李	实体查询	存放行李					
昆明长水机场免税店几点关门?T3航站楼	1	购物类	实体属性问询	免税店		几点关门			
昆明长水机场是否有为行动不方便的病人提供服务是否有轮椅	1	设施类	实体查询	轮椅					
如何找到昆明长水机场t3航站楼轮椅服务部	1	设施类	有实体但cqa	轮椅		如何找到	t3		
昆明长水机场T2最近的机场派出所在哪里啊？	1	设施类	有实体但cqa	派出所		哪里			
昆明长水国际机场二号航站楼里面有什么吃的饭店?	1	餐饮类	实体查询	饭店					
昆明长水机场候机室是否能过夜？	1	设施类	有实体但cqa		过夜				
广兰路到昆明长水机场之间地铁站有哪些有厕所，我很急！	1	其他	其他						
昆明长水机场附近有个给利竟餐厅求高人告诉店内电话。	1	餐饮类	实体属性问询	给利竟餐厅		电话			
昆明长水机场联通贵宾休息室的具体位置在哪里？	1	贵宾服务	实体属性问询	联通贵宾休息室		位置在哪里			
昆明长水机场里有哪些餐厅？	1	餐饮类	列举	餐厅				哪些	
机场有吸烟区吗？	1	设施类	实体查询	吸烟区					
听说昆明长水机场有wifi租赁柜台啦，是不是真的？	1	设施类	实体查询	wifi					
马来西亚 吉隆坡国际机场 退税在什么区	1	其他	其他						
昆明长水机场T2航站楼附近有什么酒店啊？	1	住宿类	列举	酒店			T2		
昆明长水机场能够存放东西吗?	1	行李	实体查询		存放东西				
成都地铁2线哪站有厕所	1	其他	其他						
请问昆明长水国际机场和昆明长水新昆明长水机场是一个吗	1	其他	其他						
昆明长水机场药店几点开门	1	购物类	实体属性问询	药店		几点开门			
昆明长水机场T2航站楼哪里有吸烟点，在线等	1	设施类	实体属性问询	吸烟点					
哪路公车到达昆明长水机场急救中心？？	1	出行类	实体查询	急救中心					
昆明长水国际机场T3航站楼停车场有充电桩吗	1	设施类	实体查询	充电桩					
听说最近奥迪在昆明长水机场有专属停车区，是真的吗？	1	设施类	实体查询	停车区					
机场有硬纸箱打包行李的服务吗	1	行李	实体查询		打包行李				
机场硬纸箱打包行李的服务多少钱	1	行李	实体属性问询		打包行李	多少钱			
机场有硬纸箱打包行李的服务怎么找	1	行李	有实体但cqa		打包行李				
昆明长水机场值机柜台位置	1	柜台	实体属性问询	值机柜台		位置			
昆明长水机场晚上有计时休息的地方吗	1	设施类	实体查询		休息的地方				
昆明长水机场警务室电话号码多少？	1	设施类	实体属性问询	警务室		电话			
昆明长水机场有为手电脑充电的地方吗?	1	设施类	实体查询		充电的地方				
昆明长水机场有没有手机充电的地方？	1	设施类	实体查询		充电的地方				
昆明长水国际机场t2号航站楼可以停车吗？	1	设施类	实体查询		停车		t2		
昆明长水国际机场t2号航站楼停车停在那里呢	1	设施类	实体查询		停车		t2		
机场行李怎样寄存？	1	行李	有实体但cqa		行李怎样寄存				
中国银行哪些卡可以进机场贵宾室	1	贵宾服务	列举	机场贵宾室					
昆明长水机场联通贵宾休息室开放时间是什么时候？	1	贵宾服务	实体属性问询	联通贵宾休息室		开放时间			
谁知道昆明长水机场公安局或派出所在什么地方?	1	设施类	实体属性问询		公安局或派出所	在什么地方			
昆明长水机场内酒店叫什么名	1	住宿类	实体查询	酒店					
昆明长水新机场取消吸烟了吗	1	其他	其他						
昆明长水机场t3航站楼内的贵宾厅有专门安检通道么	1	贵宾服务	有实体但cqa	安检通道			贵宾厅		
昆明长水机场的联通vip休息室还有吗？在什么位置？	1	贵宾服务	复杂	联通vip休息室		在什么位置			
昆明长水机场的联通vip休息室在什么位置？	1	贵宾服务	实体属性问询	联通vip休息室		在什么位置			
昆明长水国际机场是否有储物柜	1	设施类	实体查询	储物柜					
昆明长水国际机场里面快递具体位置在哪里	1	设施类	实体属性问询	快递		具体位置在哪里			
昆明长水机场t3哪有插座充电	1	设施类	实体属性问询		插座充电				
求昆明长水机场 Wifi 密码多少	1	设施类	实体属性问询	Wifi 		密码			
昆明长水机场托运是否可提供包装箱	1	行李	有实体但cqa	机场托运					
工行在国际机场有什么服务？	1	金融类	有实体但cqa	工行					
昆明长水机场2号航站楼哪里可以吃饭(比如快餐)	1	餐饮类	实体查询		吃饭				
昆明长水机场附近有没有wifi租赁的地方	1	设施类	实体查询	wifi					
昆明长水机场内有快递么。	1	设施类	实体查询	快递					
昆明长水机场出发大厅有没有饮水处	1	设施类	实体查询	饮水处					
工行在昆明长水机场有什么服务？	1	设施类	有实体但cqa	工行					
昆明长水机场联通贵宾B厅的开放时间是什么时候？	1	贵宾服务	实体属性问询	联通贵宾B厅					
昆明长水机场有哪些部门?	1	center	实体属性问询	昆明长水机场		部门			
昆明长水机场wifi租赁柜台已经开始营业了么？	1	设施类	实体查询	wifi					
机场巴士的线路有哪些	1	出行类	实体属性问询	机场巴士		线路			
昆明长水机场神州租车 一嗨租车 安飞士租车哪个好？	1	其他	其他						
昆明长水机场到汉庭酒店怎么走？		其他	其他						
地铁怎么去昆明长水机场		其他	其他						
上海国际机场离国内机场多远		其他	其他						
从昆明长水机场去湖州织里童装批发城，请问既方便又经济的路线？		其他	其他						
从昆明长水机场去湖州织里童装批发城，请问有什么注意事项？		其他	其他						
昆明长水机场t1航站楼走错了怎么办		其他	其他						
昆明长水机场租车都该注意些什么		设施类	有实体但cqa	租车		注意			
关于北京首都机场内驾照的问题		其他	其他						
昆明长水机场租车公司什么地方的好		出行类	有实体但cqa	租车					
如何在昆明长水机场接人		设施类	有实体但cqa		接人				
昆明长水机场至航天博物馆站最短时间怎么走		其他	其他						
昆明长水机场至航天博物馆站最经济的方法怎么走		其他	其他						
到昆明长水机场，318路公交车终点站下车后，坐机场员工摆渡车可以到T2候机楼么？		设施类	有实体但cqa	员工摆渡车					
昆明长水国际机场到昆明长水火车站怎么走？		其他	其他						
昆明长水机场T2最近的机场派出所打车需要多久		其他	其他						
昆明长水机场T2最近的机场派出所走路需要多久		其他	其他						
昆明长水机场到海悦酒店怎么走		其他	其他						
请问昆明长水机场到长途汽车站多少钱		其他	其他						
请问昆明长水机场到长途汽车站有多远		其他	其他						
大渡口到昆明长水国际机场怎么走		其他	其他						
昆明长水机场搭出租到丰都县多少钱		其他	其他						
大巴车送客到昆明长水机场停到那里		其他	其他						
昆明长水机场接机攻略？		设施类	有实体但cqa	接机					
人民广场到麦当劳（昆明长水机场T2航站楼店）怎么走		其他	其他						
昆明长水机场到邮政大厦怎么走		出行类	有实体但cqa						
从昆明长水国际机场到南山医院怎么走		其他	其他						
要去上海签证，从昆明长水机场或者从昆明长水机场 到上海静安区南京西路1038号梅陇镇广场 求详细路线		其他	其他						
昆明长水国际机场航站楼到南山风景区怎么走		其他	其他						
昆明长水机场，从酒店怎么去机场，方便吗		其他	其他						
昆明长水国际机场到晓东村怎么走		其他	其他						
昆明长水机场租车方便吗？		出行类	有实体但cqa	租车					
请问昆明长水机场怎么叫的士		出行类	有实体但cqa		叫的士				
去昆明长水机场停车有什么攻略？		出行类	有实体但cqa		停车				
晚上11点到昆明长水机场，还有没有机场大巴呢？		出行类	有实体但cqa	机场大巴		晚上11点			
昆明长水火车站附近租车公司	1	其他	其他						
昆明长水机场有高铁吗		出行类	实体查询	高铁					
"凌晨1点左右,从昆明长水机场到市区还有大巴车么?"		出行类	实体属性问询	大巴车		凌晨1点			
昆明长水机场内有航站楼直接的交通服务吗		出行类	实体查询	交通服务					
昆明长水机场哪里可以上车乘坐机场巴士		出行类	实体属性问询	机场巴士					
昆明长水机场T2到T3摆渡车末班车		出行类	实体查询	摆渡车					
昆明长水机场T2航站楼到昆明长水国际机场怎么走?		其他	其他						
昆明长水机场 P4 有没有免费接驳车？		出行类	实体查询	接驳车		免费			
从昆明长水机场到长沙国际会议中心怎么走		其他	其他						
昆明长水国际机场坐计程车到公明镇要多少钱?		其他	其他						
昆明长水机场距离青铜饭店有多远		其他	其他						
华东理工大学到昆明长水机场怎么走		其他	其他						
昆明长水国际机场国际到达在哪里接机		其他	其他						
请问杭州东站至杭州昆明长水国际机场乘坐出租车有多少公里？		其他	其他						
请问杭州东站至杭州昆明长水国际机场乘坐出租车大概需要多少时间？		其他	其他						
昆明长水国际机场到昆明长水客运中心怎么走		其他	其他						
在昆明长水机场去国家会展中心怎么走		其他	其他						
从昆明长水机场去昆明长水宾馆怎么走?		其他	其他						
昆明长水机场接人在哪停车？		出行类	实体查询		停车				
昆明长水机场T3到达接机在哪？		出行类	实体查询		接机	在哪			
中欧国际工商学院到昆明长水机场怎么走		其他	其他						
昆明长水机场打车到市区得多少钱		其他	其他						
明天早上六点多打车去昆明长水机场大概多长时间能到？		其他	其他						
昆明长水国际机场小孩没有大人陪伴在哪里接机？		出行类	有实体但cqa		接机				
昆明长水机场有正规出租车吗		出行类	实体查询	出租车					
到昆明长水机场有直达地铁么？		出行类	实体查询	地铁					
昆明长水国际机场到黄土坡怎么走		其他	其他						
长沙站到昆明长水机场打出租车要多长时间		其他	其他						
长沙站到昆明长水机场打出租车要多少钱？		其他	其他						
mu597到昆明长水机场几号航站楼下		其他	其他						
怎么从昆明长水国际机场去北部新区财富中心A栋西部航空公寓1楼会议室		其他	其他						
昆明长水机场去西部车管所多远		其他	其他						
长沙哪个机场离会展中心近		其他	其他						
昆明长水机场T2可以到出发地方接机吗		出行类	有实体但cqa	接机					
到香港国际机场的租车公司		其他	其他						
昆明长水机场T2 航站楼在哪里做摆渡车到T3航站楼？		出行类	实体属性问询	摆渡车		在哪里			
昆明长水国际机场到中国人民银行（昆明长水分行）怎么走		其他	其他						
六福珠宝（王府井百货店）到昆明长水机场怎么走		其他	其他						
昆明长水国际机场到富滇银行东郊路支行怎么走		其他	其他						
昆明长水南至昆明长水机场多少公里		其他	其他						
昆明长水牌照的车上机场高速收费吗		其他	其他						
昆明长水北站打的到昆明长水机场大概要多长时间的		其他	其他						
昆明长水国际机场到昆明长水市儿童医院的哪条路的分院更近		其他	其他						
昆明长水国际机场到火车站怎么走		其他	其他						
C1驾驶证在实习期内，可以上昆明长水机场快速路吗?		其他	其他						
凌晨1点多才能到昆明长水机场 如果要去市区 如何坐车？		其他	其他						
下水径到昆明长水国际机场怎么走		其他	其他						
昆明长水机场凌晨2点还有车去市区吗		其他	其他						
昆明长水机场到北大坐出租车要多少钱		其他	其他						
昆明长水机场到昆明长水机场最快速方法。		其他	其他						
昆明长水机场内摆渡车收费标准		出行类	实体属性问询	摆渡车		收费标准			
昆明长水机场在哪个街道上几号		出行类	实体属性问询	昆明长水机场		在哪个街道上几号			
凌晨12点到昆明长水机场，想问下怎么能去罗湖车站，有机场巴士嘛？		其他	其他						
方汇货币的营业时间	1	金融类	实体属性问询	方汇货币		营业时间			
中国农业银行的位置	1	金融类	实体属性问询	中国农业银行		位置			
哪里可以兑换货币呢	1	金融类	实体查询		兑换货币				
银行货币兑换的种类是哪些	1	金融类	列举		银行货币兑换	种类		是哪些	
银行兑换货币的手续费是多少	1	金融类	实体属性问询		银行兑换货币	手续费			
银行货币兑换的可用时间范围	1	金融类	实体属性问询		银行货币兑换	可用时间范围			
航空意外险可以补买吗？如何补买？		设施类	实体属性问询	航空意外险					
航空意外险要买吗		设施类	有实体但cqa	航空意外险					
中国银行兑换外币需要提前多久预约		金融类	有实体但cqa		兑换外币				
昆明长水机场用港币兑换人民币的详细流程？		金融类	有实体但cqa		用港币兑换人民币	详细流程			
机场兑换外币：上海浦东机场可以兑换外币吗		其他	其他						
关于外币兑换。		金融类	实体查询		外币兑换				
