target	raw_chars
0	昆明长水机场去西部车管所多远
0	长沙站到昆明长水机场打出租车要多长时间
3	昆明长水国际机场的吸烟区在那
5	昆明长水国际机场日上买的东西回来时只取清单中的一部分可不可以？
4	昆明长水机场T3到达接机在哪？
5	昆明长水机场租车公司什么地方的好
4	昆明长水国际机场有更衣室吗
4	你好，昆明长水机场有农行贵宾厅吗？
1	昆明长水机场坐飞机哪些东西不能带？
3	昆明长水机场 寄存行李 可不可以寄存十几天的时间？
0	今天在宝安机场的贵宾休息室看到一个女生那些一张黑色的p卡 看着挺方便不知道怎么弄那个卡
2	昆明长水机场有随身WiFi租吗？要多少钱？
0	请问杭州东站至杭州昆明长水国际机场乘坐出租车大概需要多少时间？
0	昆明长水机场t1和t2区别吗
0	可以在机场的厕所里过夜吗？
4	昆明长水国际机场T3航站楼停车场有充电桩吗
5	昆明长水机场用人民币换卢布汇率怎么样？
3	昆明长水机场值机柜台位置
0	昆明长水机场到昆明长水机场最快速方法。
4	昆明长水航空在昆明长水机场的提货处在哪里呢？
4	昆明长水机场有热水提供吗？
0	人民广场到麦当劳（昆明长水机场T2航站楼店）怎么走
4	可以从携带动物或植物出/入境吗
1	昆明长水机场里面有什么餐厅?
5	在昆明长水机场内怎么寄快递？
4	昆明长水机场行李打包的问题
4	昆明长水机场有什么24小时营业的餐厅嘛？
4	昆明长水机场内那里有免费开水
4	一般去哪里兑换外币
4	昆明长水机场附近有卖手机和手机卡的吗？
5	托运行李没和航班一起到达怎么办
5	请问一下，如果在国际机场要打包行李，拉杆行李箱可以打包吗
5	住昆明长水机场计时休息室需要什么条件吗？
4	昆明长水机场内酒店叫什么名
3	请问，有谁知道昆明长水国际机场救护中心的联系电话呢？
4	昆明长水国际机场有免税店吗?
1	昆明长水国际机场有那几家航空公司？
4	关于外币兑换。
4	昆明长水的机场有贵宾厅吗？
4	昆明长水国际机场里面有建行的取款机吗？
0	长沙站到昆明长水机场打出租车要多少钱？
4	长水机场国际候机厅有热水吗
5	昆明长水机场工商银行贵宾休息室用理财金卡或者工行信用卡金卡能进去嘛？
4	顺丰速运昆明长水机场有次日达业务吗?
4	昆明长水机场里哪里有电话卡卖？
5	登机牌不小心丢了怎么办
3	昆明长水机场出国行李打包多钱
5	民生银行信用卡机场贵宾厅怎么预约
4	昆明长水机场有汇丰银行吗?可以存钱吗
4	机场是否有接送机服务
4	昆明长水机场t2航站楼有银行吗
4	昆明长水机场里有没有建设银行的ATM机可以取钱
4	昆明长水机场里面有没有邮政自动提款机
4	昆明长水机场：值机柜台附近的休息椅有没有插座？
1	请问昆明长水飞机场接机有多少个出口？
4	昆明长水机场有些免税店？
0	大巴车送客到昆明长水机场停到那里
5	昆明长水机场T2最近的机场派出所在哪里啊？
5	身份证过期，重新办理的身份证还没下来，如何办理登机牌
3	全家便利店的地址
4	昆明长水机场晚上有计时休息的地方吗
3	昆明长水机场t3哪有插座充电
4	昆明长水机场有顺丰快递站吗 能不能签收？
0	要去上海签证，从昆明长水机场或者从昆明长水机场 到上海静安区南京西路1038号梅陇镇广场 求详细路线
3	昆明长水机场T2航站楼宾馆价格
3	孕妇坐飞机机票怎么算
3	昆明长水机场有哪些部门?
4	昆明长水机场t3里面还有吸烟室吗？
3	昆明长水机场T2B什么意思
1	中国银行哪些卡可以进机场贵宾室
3	昆明长水机场T3航站楼寄存行李怎么收费
4	昆明长水机场有24小时营业的店么?
3	昆明长水机场的联通vip休息室在什么位置？
4	昆明长水银行离机场最近的营业部
4	昆明长水机场可以寄存行李吗
5	起飞前多久开始登机
4	昆明长水机场可以兑换外币吗?
5	昆明长水机场T1的海南航空休息室 是只有海航vip可以进 还是头等舱机票就能进？？
1	昆明长水机场第一航站楼有哪些航空公司
3	机场的上网密码是多少
3	昆明长水机场问讯处电话？
5	昆明长水机场的日上免税店，买的东西存着回来再提货，可以退货吗
0	昆明长水国际机场t3和昆明长水机场是一个机场吗
0	凌晨12点到昆明长水机场，想问下怎么能去罗湖车站，有机场巴士嘛？
5	昆明长水机场的咖啡店怎么样？
5	昆明长水机场将母婴室安排在男厕里是真的吗？
4	昆明长水机场有没有吸烟室？
4	化妆品是托运范围内的物品吗
3	乘坐飞机轮椅服务需要费用吗
5	昆明长水国际机场自助餐厅饭菜怎么样?
3	哪里有商场母婴休息室
5	飞机上的行李托运需要打包吗
3	昆明长水机场的充电站的服务价格是多少
3	国航的值机柜台在哪里
4	旅客在等候转机期间，可以到哪里休息片刻
4	昆明长水航站楼t1t2航站楼有对换外汇的吗?
0	昆明长水机场至航天博物馆站最经济的方法怎么走
1	昆明长水机场里有哪些餐厅？
4	昆明长水机场，可以有WIFI吗？
4	机场有硬纸箱打包行李的服务吗
4	昆明长水火车站有手机充电的地方吗？
3	昆明长水机场用的什么牌子的饮水机
1	昆明长水国际机场有哪几个航站楼
5	机场里面的电话卡直接给钱就能买？！
4	机场有没有类似小红帽的服务帮忙拿行李箱和送老年人登机
0	昆明长水机场，从酒店怎么去机场，方便吗
3	昆明长水航空公司在昆明长水国际机场的值机位在哪？
5	在昆明长水国际机场转机时，是否须要先认领行李，然后再办理行李托运手续
4	昆明长水机场有免税商店没？
4	可以在机场过夜吗
3	昆明长水机场那里的建设银行具体名字是什么分行?
4	昆明长水机场T2到T3摆渡车末班车
3	昆明长水机场一般登机箱最大尺寸和重量多少可以托运？
3	昆明长水机场在哪个区?
3	昆明长水国际机场一号航站楼的出发层是哪一层？
4	昆明长水机场是否有兑换外币的地方？
3	机场行李提取处位置
3	昆明长水国际机场自助餐厅每位多少钱?
0	昆明长水机场和昆明长水机场T2航站楼是一个地方吗
5	到昆明长水机场到哪个旋转盘拿行李都可以吗
1	昆明长水机场有几个接机口
5	转机航班离开了怎么办
3	昆明长水机场的顺丰快递内怎么去？
4	水泥是剧毒物品吗
4	机场内有没有可休息可充电的地方
5	昆明长水机场t1c区贵宾通道怎么走
4	昆明长水机场大厅可不可以买到移动电话卡？
5	转机需要最短中转时间是多少
4	要去欧洲了 机场哪里可以换到欧元 小面值的最好
5	昆明长水机场怎么登机？
4	请问到了昆明长水机场怎样找旅馆？
5	我身份证丢了，在昆明长水机场现在去能办临时登机身份证吗？
4	昆明长水机场2号航站楼安检后有没有吃东西的地方？
5	昆明长水机场的机场大巴是送旅客去哪里
3	工行在昆明长水机场有什么服务？
1	昆明长水机场都卖什么？
3	昆明长水市国际机场深航基地邮政编码是多少
5	日上免税行(昆明长水机场店)的详细介绍？
0	你对机场母婴室在男厕这种安排怎么看？
0	昆明长水机场神州租车 一嗨租车 安飞士租车哪个好？
4	昆明长水国际机场t3有哪些好休息的地方？
0	昆明长水火车站是否有搬运服务
4	昆明长水机场有没有深航vip休息室 ？
4	哪里可以兑换货币呢
0	mu597到昆明长水机场几号航站楼下
3	国际航空意外险包括哪些分类
5	昆明长水机场接机攻略？
0	昆明长水机场和昆明长水国际机场是一个吗?
4	请问昆明长水机场有中国银行吗？
4	昆明长水机场t1c区贵宾通道怎么走
3	行李寄存怎么收费
0	昆明长水国际机场与新机场是一个地方吗
0	昆明长水国际机场3号航站楼的相关报道
4	有老人独自出境机场工作人员可提供帮助吗?
4	昆明长水机场到昆明长水机场半夜12点有机场大巴吗
0	昆明长水机场打包员工福利好不
4	如何免费在充电桩充电
3	昆明长水国际机场有多大？
0	广兰路到昆明长水机场之间地铁站有哪些有厕所，我很急！
4	昆明长水机场是否有为行动不方便的病人提供服务是否有轮椅
5	如果要在昆明长水机场办理临时乘机证明需要带些什么
0	招行金葵花卡 重庆机场贵宾
5	昆明长水机场如何行李寄存
5	昆明长水自由行机场怎么退税
3	机场的安检地址在哪
5	关于办理无人陪伴儿童登机手续
0	昆明长水机场搭出租到丰都县多少钱
5	转机遇到误机怎么办
3	昆明长水机场T3航站楼在哪寄存行李
4	昆明长水机场可以存放行李么
